image_2.jpg#0	insert new bolt.
image_2.jpg#1	insert new bolt.
image_2.jpg#2	insert new bolt.
image_2.jpg#3	insert new bolt.
image_2.jpg#4	insert new bolt.
image_3.jpg#0	cut out corroded section
image_3.jpg#1	cut out corroded section
image_3.jpg#2	cut out corroded section
image_3.jpg#3	cut out corroded section
image_3.jpg#4	cut out corroded section
image_4.jpg#0	insert new bolt.
image_4.jpg#1	insert new bolt.
image_4.jpg#2	insert new bolt.
image_4.jpg#3	insert new bolt.
image_4.jpg#4	insert new bolt.
image_5.jpg#0	cut out corroded section and apply radius for paint system
image_5.jpg#1	cut out corroded section and apply radius for paint system
image_5.jpg#2	cut out corroded section and apply radius for paint system
image_5.jpg#3	cut out corroded section and apply radius for paint system
image_5.jpg#4	cut out corroded section and apply radius for paint system
image_6.jpg#0	cut out corroded section and apply radius for paint system
image_6.jpg#1	cut out corroded section and apply radius for paint system
image_6.jpg#2	cut out corroded section and apply radius for paint system
image_6.jpg#3	cut out corroded section and apply radius for paint system
image_6.jpg#4	cut out corroded section and apply radius for paint system
image_7.jpg#0	cut out corroded section and apply radius for paint system
image_7.jpg#1	cut out corroded section and apply radius for paint system
image_7.jpg#2	cut out corroded section and apply radius for paint system
image_7.jpg#3	cut out corroded section and apply radius for paint system
image_7.jpg#4	cut out corroded section and apply radius for paint system
image_8.jpg#0	cut out corroded section and apply radius for paint system
image_8.jpg#1	cut out corroded section and apply radius for paint system
image_8.jpg#2	cut out corroded section and apply radius for paint system
image_8.jpg#3	cut out corroded section and apply radius for paint system
image_8.jpg#4	cut out corroded section and apply radius for paint system
image_9.jpg#0	cut out corroded section and apply radius for paint system
image_9.jpg#1	cut out corroded section and apply radius for paint system
image_9.jpg#2	cut out corroded section and apply radius for paint system
image_9.jpg#3	cut out corroded section and apply radius for paint system
image_9.jpg#4	cut out corroded section and apply radius for paint system
image_10.jpg#0	cut out corroded section and apply radius for paint system
image_10.jpg#1	cut out corroded section and apply radius for paint system
image_10.jpg#2	cut out corroded section and apply radius for paint system
image_10.jpg#3	cut out corroded section and apply radius for paint system
image_10.jpg#4	cut out corroded section and apply radius for paint system
image_11.jpg#0	cut out corroded section and apply radius for paint system
